atl_sk_atlas_frente;frn_sk_frente;frn_id_frente;frn_tx_titulo;frn_tx_situacao;frn_dt_criacao;leg_id_legislatura;atl_qt_registros_membros;atl_qt_membros;atl_qt_partidos;atl_qt_ufs;atl_qt_coordenadores;atl_qt_liderancas;atl_tx_partido_predominante;atl_qt_membros_partido_predominante;atl_tx_uf_predominante;atl_qt_membros_uf_predominante;atl_vl_pct_cobertura_deputados;atl_vl_pct_dimensoes_completas;atl_nr_rank_representatividade;atl_fl_frente_ativa;atl_fl_possui_coordenador;atl_fl_possui_lideranca;atl_fl_composicao_partidaria_identificada;atl_fl_distribuicao_uf_identificada;atl_fl_registro_valido_marts;atl_qt_frente_encontrada_gold;atl_qt_deputado_encontrado_gold;atl_qt_partido_encontrado_gold;atl_qt_estado_encontrado_gold;atl_qt_dimensoes_completas;aud_id_execucao_marts;aud_dh_processamento_marts;aud_tx_versao_pipeline_marts;aud_tx_hash_registro_marts
6aa11537095e3abf746e1999f1675cbfe88bc4be17b1f8b8b092149b347d883a;a2e54249ca51c382e8c1fab25c68e2cf77d12ecf0b957eda654c6278acea7535;54152;FRENTE PARLAMENTAR MISTA EM DEFESA DE FURNAS;08/08/2019 - RECEBIDOS O REQ 2056/2019, A ATA, O ESTATUTO E AS ADESÕES. 08/08/2019 - ENCAMINHADO AO SEPRO PARA CONFERÊNCIA DE ASSINATURAS. 13/08/2019 - CONFIRMADAS 385 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 13/08/2019 - OF. 294/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 15/08/2019 - CONFIRMADAS 46 ASSINATURAS DE SENADORES. 15/08/2019 - VAI À PUBLICAÇÃO. 26/09/2019 - RECEBIDO O OF 220/2019, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO, PARA CONFERÊNCIA. 26/09/2019 - CONFIRMADAS 6 ASSINATURAS DE DEPUTADOS. NÃO HÁ SENADORES. PUBLIQUE-SE. 05/11/2019 - RECEBIDO O REQ S/N/19, DO DEP. GILDENEMYR, SOLICITANDO A RETIRADA DE SUA ASSINATURA. 11/11/2019 - DEFERIDA A RETIRADA. PUBLIQUE-SE. 20/02/2020 - RECEBIDO O OF. 78/2020, DA SEN. LEILA BARROS, SOLICITANDO A RETIRADA DE SUA ASSINATURA. DEFERIDO. 17/12/2020 - RECEBIDO OF 361/2020, DO DEP. FILIPE BARROS, SOLICITANDO A RETIRADA DE SUA ASSINATURA. DEFERIDO. 13/08/2021 - RECEBIDO OF 720/2021, DA DEP. ALÊ SILVA, SOLICITANDO A RETIRADA DE SUA ASSINATURA. DEFERIDO.;;56;388;388;24;27;0;0;PL;51;SP;54;22.43;100.0;1;false;false;false;true;true;true;388;388;381;388;388;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;5f302a7bb90b4f76ff4dbf651404ce178445e4247f7c4cfbc8d524220501cdbd
70ae2bf7f83da8854c676f78de9b085103ae4cbe5f51884e3c4aa3dd37182b7b;7dfc21ed03a6bb3447287254249aa92e8dbfdd9101ad0a81b20cf79ad0db22da;53793;FRENTE PARLAMENTAR DA ODONTOLOGIA;19/10/2017 - RECEBIDOS O REQ 7473/2017, A ATA, O ESTATUTO E AS ADESÕES. 19/10/2017 - ENCAMINHADO AO SEPRO PARA CONFERÊNCIA DE ASSINATURAS. 20/10/2017 - CONFIRMADAS 336 ASSINATURAS DE DEPUTADOS. NÃO HÁ SENADORES. 20/10/2017 - VAI À PUBLICAÇÃO. 07/11/2017 - RECEBIDO MEMORANDO N°15/2017, SOLICITANDO INCLUSÃO DE NOVOS PARLAMENTARES. 07/11/2017 - ENCAMINHADO AO SEPRO PARA CONFERÊNCIA DE ASSINATURAS. 07/11/2017 - CONFIRMADOS MAIS 62 ADESÕES DE DEPUTADOS 07/11/2017 - VAI À PUBLICAÇÃO 19/11/2018 - RECEBIDO O REQ 9256/2018, DA DEP. BRUNA FURLAN, SOLICITANDO A RETIRADA DE SEU APOIAMENTO. 20/11/2018 - DEFERIDO O REQUERIMENTO.;;55;362;362;18;27;0;0;PT;28;SP;49;20.92;55.8;2;false;false;false;true;true;true;362;202;200;362;202;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;97506660af03b7d41f0fb6a2deda6f5facf4c301d77dc9fb34bf98e38fe362dd
27ba63bff8f2b794a1aa5acdd3188365e8b847ad45ea874e582519304d5850ed;683b9600a2e708c5123f2fe85bfb59a9b4eec569a5627268fec8ab76e097cba2;54323;FRENTE PARLAMENTAR DA AGROPECUÁRIA - FPA;08/03/2023 - RECEBIDOS REQ 500/2023, ATA, ESTATUTO E ADESÕES. 08/03/2023 - CONFIRMADAS 300 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 13/03/2023 - OF. Nº 92/2023/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DE SENADORES. 16/03/2023 - RECEBIDO OF. Nº 44/2023-SLCN, COM 41 ASSINATURAS DE SENADORES VALIDADAS, TOTALIZANDO QUÓRUM INICIAL DE 341 PARLAMENTARES. 28/03/2023 - DESPACHO DE REGISTRO ASSINADO. VAI À PUBLICAÇÃO EM DCD. 28/04/2023 - RECEBIDO OF. Nº 42804/2023 (SDR 28/4/2023 - 13H53). AGUARDANDO ASSINATURA DE DESPACHO. 22/09/2023 - RECEBIDO OF. 70/2023 (DOC 1067/2023) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 25/09/2023 - CONFIRMADAS 21 ASSINATURAS DE DEPUTADOS. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 09/11/2023 - RECEBIDO OF. S/N/2023 (DOC 1319/2023) SOLICITANDO A RETIRADA DO DEPUTADO. 16/11/2023 - CONFIRMADA A RETIRADA. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 29/2/2024 - ENVIADO E-MAIL AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DE SENADORES. (DOC 1067/2023). 05/3/24 - RECEBIDO OF. Nº 7/2024-SLCN, COM 9 ASSINATURAS DE SENADORES VALIDADAS. (E-MAIL DE 5/3/2024, 18H30). 27/08/2024 - RECEBIDO OF. 170/2024 (DOC 1050/2024) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 29/08/2024 - CONFIRMADAS 14 ASSINATURAS DE DEPUTADOS. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 30/10/2024 - RECEBIDO OF. 700/2024 (DOC 1492/2024) COMUNICANDO A ALTERAÇÃO DO ESTATUTO. 26/11/2024 - RECEBIDO OF. 304/2024 (DOC 1561/2024) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 27/11/2024 - CONFIRMADAS 8 ASSINATURAS DE DEPUTADOS. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 29/11/2024 - RECEBIDO OF. 806/2024 (DOC 1571/2024) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 29/11/2024 - CONFIRMADA ADESÃO DE UM DEPUTADO. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 03/12/2024 - RECEBIDO OF. 985/2024 (DOC 1573/2024) COMUNICANDO A ALTERAÇÃO DO ESTATUTO E ELEIÇÃO DE CARGOS. 09/12/2024 - DESPACHO: PUBLIQUE-SE. ARQUIVE-SE. 25/02/2025 - RECEBIDO OF. 3/2025 (DOC 65/2025) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 10/03/2025 - CONFIRMADAS 8 ASSINATURAS DE DEPUTADOS. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 25/03/2025 - RECEBIDO OF. 15/2025 (DOC 272/2025) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 01/04/2025 - CONFIRMADAS 8 ASSINATURAS DE DEPUTADOS. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 23/04/2025 - RECEBIDO OF. 845/2025 (DOC 320/2025) SOLICITANDO A INCLUSÃO DE DEPUTADOS. 29/04/2025 - CONFIRMADAS 4 ASSINATURAS DE DEPUTADOS. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 10/11/2025 - RECEBIDO OF. 758/2025 (DOC 1508/2025) SOLICITANDO A INCLUSÃO DE DEPUTADOS E SENADORES. 10/11/2025 - CONFIRMADAS 7 ASSINATURAS DE DEPUTADOS E 2 SENADORES. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE. 27/04/2026 - RECEBIDO OF. 49/2026 (DOC 430/2026) SOLICITANDO A INCLUSÃO DE DEPUTADOS E SENADORES. 04/05/2026 - CONFIRMADAS 4 ASSINATURAS DE DEPUTADOS E 4 SENADORES. DESPACHO: REGISTRE-SE. PUBLIQUE-SE. ARQUIVE-SE.;;57;342;342;20;27;0;0;PL;89;SP;39;19.77;100.0;3;true;false;false;true;true;true;342;342;342;342;342;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;b6298ecf410e241126091a238a4921703aec74ff03cf0c688ba5b47bd07f9de6
84199201068e38f3fcc693b5e3b6ed2c4f78acd1ff27866124f79b669e478e26;4f2f0f29a3aaf75d8f466d7719d51e943ce75df0c1f2fa60d92be9f05409ff9f;53929;FRENTE PARLAMENTAR DA JUSTIÇA NOTARIAL E REGISTRAL;28/02/2019- RECEBIDOS O REQ 658/2019, A ATA, O ESTATUTO E AS ADESÕES. 28/02/2019 - ENCAMINHADO AO SEPRO PARA CONFERÊNCIA DE ASSINATURAS. 11/03/2019 - CONFIRMADAS 185 ASSINATURAS DE DEPUTADOS. ENTREI EM CONTATO COM O GABINETE (SONIA) E SOLICITEI NOVAS ADESÕES. 14/03/2019 - RECEBIDAS NOVAS ADESÕES. AO SEPRO, PARA CONFERÊNCIA. 14/03/2019 - CONFIRMADAS 199 ASSINATURAS DE DEPUTADOS. NÃO HÁ SENADORES. VAI À PUBLICAÇÃO. 22/03/2019 - CONFIRMADAS 91 ASSINATURAS DE DEPUTADOS. NÃO HÁ SENADORES. 22/03/2019 - VAI À PUBLICAÇÃO. 28/03/2019 - RECEBIDO O OF 120/2019, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO PARA CONFERÊNCIA. 29/03/2019 - CONFIRMADAS 80 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 01/04/2019 - OF. 124/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 09/04/2019 - CONFIRMADAS 6 ASSINATURAS DE SENADORES. VAI À PUBLICAÇÃO. 03/04/2019 - RECEBIDO O OF 126/2019, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO PARA CONFERÊNCIA. 04/04/2019 - CONFIRMADAS 13 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 04/04/2019 - OF. 129/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 29/04/2019 - CONFIRMADAS 4 ASSINATURAS DE SENADORES. VAI À PUBLICAÇÃO. 08/05/2019 - RECEBIDO O OF 178/19, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO, PARA CONFERÊNCIA. 09/05/2019 - CONFIRMADAS 57 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 09/05/2019 - OF. 171/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 17/05/2019 - CONFIRMADAS 4 ADESÕES DE SENADORES. PUBLIQUE-SE.;;56;333;333;25;27;0;0;PL;55;SP;46;19.25;100.0;4;false;false;false;true;true;true;333;333;328;333;333;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;6a14d640b960fd0c4f006cd1949ffa16899a8d6dd31152c09cc93a5a11ba9494
df4508ca42f45b921fb20d5d349194711c0577b85dbde52d7c03a4d69068357e;1ea1812cc3c1e00344671d5b9db4c1ede41d115f61f2f3595091d05469a2f2e6;53382;FRENTE PARLAMENTAR DE APOIO À REESTRUTURAÇÃO DA POLÍCIA FEDERAL;22/05/2013 – RECEBIDO O REQUERIMENTO Nº 7826/2013, ATA, ESTATUTO E ADESÕES 22/05/2013 – DOCUMENTAÇÃO ENCAMINHADA PARA SERAP PARA FINS DE CONFERÊNCIA DE ASSINATURAS 28/05/2013 - CONFIRMADAS 232 ADESÕES DE DEPUTADOS. NÃO HÁ SENADORES. 28/05/2013 - VAI À PUBLICAÇÃO. 11/07/2013 - RECEBIDO OF. 289/13 SOLICITANDO NOVAS ADESÕES À FRENTE PARLAMENTAR. 11/07/2013 – DOCUMENTAÇÃO ENCAMINHADA PARA SERAP PARA FINS DE CONFERÊNCIA DE ASSINATURAS 12/07/2013 - CONFIRMADAS 38 NOVAS ADESÕES DE DEPUTADOS, TOTALIZANDO 270 ADESÕES. NÃO HÁ SENADORES. 12/07/2013 - VAI À PUBLICAÇÃO. 14/08/2013 – RECEBIDO OFÍCIO Nº 293/2013 SOLICITANDO INCLUSÃO DE NOVOS PARLAMENTARES. ENCAMINHADO À SERAP PARA CONFERÊNCIA DE ASSINATURAS. 19/08/2013 - CONFIRMADOS 09 NOVAS ADESÕES DE DEPUTADOS, TOTALIZANDO 279 ADESÕES. NÃO HÁ SENADORES. 23/08/2013 - VAI À PUBLICAÇÃO. 24/10/2013 - RECEBIDO OF. 314/13 SOLICITANDO NOVAS ADESÕES À FRENTE PARLAMENTAR. 24/10/2013 – DOCUMENTAÇÃO ENCAMINHADA PARA SERAP PARA FINS DE CONFERÊNCIA DE ASSINATURAS 24/10/2013 - CONFIRMADAS 3 NOVAS ADESÕES À FRENTE PARLAMENTAR, TOTALIZANDO 282 ADESÕES. 24/10/2013 - VAI À PUBLICAÇÃO.;;54;327;327;18;27;0;0;PT;16;MG;39;18.9;30.58;5;false;false;false;true;true;true;327;100;97;327;100;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;c8914b796e79580a958a2d6a0429cbc0ec7b1d45a1290b9e4e9ba22cc92919f7
bbfa779500937b83ec67786ce8fb6d75cc5a01e5944f1d0cdb81c5758ebb9814;f64f410744d9470ffe2d6b9ee6f042cdffcc42a745d2568146e8782ea828ff48;406;FRENTE PARLAMENTAR DE CIÊNCIA, TECNOLOGIA, PESQUISA E INOVAÇÃO;05/05/2011 - RECEBIDOS O REQ. 1592/11, A ATA, O ESTATUTO E AS ADESÕES. 05/05/2011 - ENCAMINHADOS PARA A SECAP PARA CONFERÊNCIA DE ASSINATURAS. 17/05/2011 - CONFIRMADAS 222 ADESÕES DE DEPUTADOS. NÃO HÁ SENADORES. 23/05/2011 - VAI À PUBLICAÇÃO. 17/05/2012 - FOI ENCAMINHADO O REQ. 5282/12 COMUNICANDO A FUSÃO DE DUAS FRENTES PARLAMENTARES: FRENTE PARLAMENTAR DA CIÊNCIA, TECNOLOGIA E INOVAÇÃO (DEP. IZALCI - REQ 1592/11) E FRENTE PARLAMENTAR DA PESQUISA E INOVAÇÃO (DEP. PAULO PIAU - REQ 1553/11), PASSANDO A SE CHAMAR FRENTE PARLAMENTAR DE CIÊNCIA, TECNOLOGIA, PESQUISA E INOVAÇÃO, QUE TERÁ COMO PRESIDENTE O DEP. IZALCI. AS DUAS ASSINATURAS FORAM CONFERIDAS E CONFIRMADAS. 18/05/2012 - VAI À PUBLICAÇÃO.;;54;324;324;16;27;0;0;PT;16;SP;46;18.73;29.94;6;false;false;false;true;true;true;324;97;95;324;97;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;5923740367b8cdbf07f6b983e14ee231ef0411cf1a7ed5e456b02d586bea4504
bb8c0f06c8fb7d990f1a261cbb5aaebeedbcb3922da3ca8700637389fe8ff38f;5520c66a88db06b6fbec85f6382d7f60791f7c4bec941538d60008f8b4c68089;54000;FRENTE PARLAMENTAR MISTA DA EDUCAÇÃO;01/04/2019 - RECEBIDOS O REQ 1009/2019, A ATA, O ESTATUTO E AS ADESÕES. 01/04/2019 - ENCAMINHADO AO SEPRO PARA CONFERÊNCIA DE ASSINATURAS. 02/04/2019 - CONFIRMADAS 301 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 02/04/2019 - OF. 118/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 08/04/2019 - CONFIRMADAS 38 ADESÕES DE SENADORES, TOTALIZANDO 339 ASSINATURAS. 08/04/2019 - VAI À PUBLICAÇÃO. 11/07/2019 - RECEBIDO O OF 11/2019, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO, PARA CONFERÊNCIA. 12/07/2019 - CONFIRMADAS 19 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 12/07/2019 - OF. 266/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 06/08/2019 - CONFIRMADAS 4 ASSINATURAS DE SENADORES. PUBLIQUE-SE. 01/06/2021 - RECEBIDO OFÍCIO COMUNICANDO ALTERAÇÃO DA PRESIDÊNCIA. PUBLIQUE-SE. 15/06/2021 - RECEBIDO O OF S/N/21 (DOC 298/2021), SOLICITANDO INCLUSÃO DE NOVA ADESÃO. PUBLIQUE-SE. 12/08/2021 - RECEBIDO O OF S/N/2021 (DOC 343/21), SOLICITANDO INCLUSÃO DO DEP. PAULO TEIXEIRA. PUBLIQUE-SE. 25/04/2022 - RECEBIDO O OF S/N/2022 (DOC 430/22), SOLICITANDO INCLUSÃO DA DEP. VIVI REIS. PUBLIQUE-SE.;;56;316;316;25;27;0;0;PL;38;SP;37;18.27;100.0;7;false;false;false;true;true;true;316;316;310;316;316;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;79762dd4abac84e99bbbad662b8e8281a19daaa0c5f9eebec6dadf9a58138a54
15c95762b36bdfa5cebd48ca2b86950391361ec00368e9c5f72ddfac01feab7c;b1d8abf03101cfc461a17550c4a676c6359e4356ea3ee6a74f4e9c5ac1128241;53953;FRENTE PARLAMENTAR MISTA EM DEFESA DOS MUNICÍPIOS BRASILEIROS - FMB;14/03/2019 - RECEBIDOS O REQ 762/2019, A ATA, O ESTATUTO E AS ADESÕES. 14/03/2019 - ENCAMINHADO AO SEPRO PARA CONFERÊNCIA DE ASSINATURAS. 18/03/2019 - CONFIRMADAS 306 ASSINATURAS DE DEPUTADOS. HÁ SENADORES. 18/03/2019 - OF. 95/2019/SGM ENCAMINHADO AO SENADO PARA CONFERÊNCIA DE ASSINATURAS DOS SENADORES. 26/03/2019 - CONFIRMADAS 31 ASSINATURAS DE SENADORES. 26/03/2019 - VAI À PUBLICAÇÃO. 28/03/2019 - RECEBIDO O OF 29/2019, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO, PARA CONFERÊNCIA. 01/04/2019 - CONFIRMADAS 4 ADESÕES DE DEPUTADOS. NÃO HÁ SENADORES. PUBLIQUE-SE. 30/04/2019 - RECEBIDO O OF 43/2019, SOLICITANDO INCLUSÃO DE NOVAS ADESÕES. AO SEPRO, PARA CONFERÊNCIA. 07/05/2019 - CONFIRMADA 1 ADESÃO DE DEPUTADO. NÃO HÁ SENADORES. PUBLIQUE-SE. 30/05/2019 - RECEBIDO O OF 51/2019, SOLICITANDO INCLUSÃO DE NOVA ADESÃO. 13/08/2021 - RECEBIDO OF 720/2021, DA DEP. ALÊ SILVA, SOLICITANDO A RETIRADA DE SUA ASSINATURA. DEFERIDO.;;56;311;311;23;27;0;0;PP;39;MG;33;17.98;100.0;8;false;false;false;true;true;true;311;311;307;311;311;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;f2bc9d4c26bb944953acd1d274eedd214c22d324fc0770881c3a4d4fc139c053
aba2db15118bcdff058d03647a47e237fcc245acab0f3e642bd858d927c4804e;459535faa370a3b5f8b87203b089623c7aeb9325abf241ec8a685b9c325047a3;353;FRENTE PARLAMENTAR DE APOIO ÀS SANTAS CASAS, HOSPITAIS E ENTIDADES FILANTRÓPICAS.;23/02/11 - RECEBIDOS O REQ. 525/2011, A ATA, O ESTATUTO E AS ADESÕES. 24/02/11 - ENCAMINHADOS PARA A SECAP PARA CONFERÊNCIA DE ASSINATURAS. 03/03/11 - OF. 141/11/SGM ENCAMINHADO AO SENADO SOLICITANDO CONFERÊNCIA DE ASSINATURAS. 11/03/11 - CONFIRMADAS 288 ADESÕES DE DEPUTADOS E 14 DE SENADORES. VAI À PUBLICAÇÃO. 25/03/11 - O OF. N. 32/2011 ENCAMINHA 21 FICHAS DE ADESÃO À FRENTE PARLAMENTAR. VAI À PUBLICAÇÃO. 13/11/12 - ENCAMINHADAS PARA A SECAP NOVAS ADESÕES PARA CONFERÊNCIA DE ASSINATURAS. 14/11/12 - CONFIRMADAS 21 NOVAS ADESÕES DE DEPUTADOS. NÃO HÁ SENADORES. 14/11/12 - VAI À PUBLICAÇÃO. 04/12/13 - RECEBIDO O OF. 361/13 SOLICITANDO ALTERAÇÃO DO ESTATUTO E DO NOME DA FRENTE PARLAMENTAR. 04/12/13 - VAI À PUBLICAÇÃO.;;54;309;309;17;27;0;0;PSD;15;SP;39;17.86;33.33;9;false;false;false;true;true;true;309;103;101;309;103;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;f736e27da12dcb37b2f39ed5a8576c5430bd198e6b9fa9aad816f9b4c330be67
38ce3b21482f16cc45ba7bc9b02227ec4e863c852a2330e8f6c1942d6c408db0;44fb48d8c7489e44982f3139cb084ee9c698f9198c5acff066c9a6aacc066a02;53356;FRENTE PARLAMENTAR EM DEFESA DA COMPETITIVIDADE DA CADEIA PRODUTIVA DO SETOR QUÍMICO, PETROQUÍMICO E PLÁSTICO DO BRASIL;17/05/2012 - RECEBIDOS O REQ. 5302/12, A ATA, O ESTATUTO E AS ADESÕES. 17/05/2012 - DOCUMENTOS ENCAMINHADOS PARA A SECAP PARA CONFERÊNCIA DE ASSINATURAS. 21/05/2012 - CONFIRMADAS 302 ADESÕES DE DEPUTADOS. NÃO HÁ SENADORES. 22/05/2012 - VAI À PUBLICAÇÃO.;;54;308;308;16;27;0;0;PT;25;SP;48;17.8;32.14;10;false;false;false;true;true;true;308;99;97;308;99;b3a1449f-edcb-4a2a-9eaf-55a5552846a1;2026-06-02T16:22:04.251Z;v 2.0.0;6a9edc3b612a462948e316f3c4057ef9a7dd3390a7fc6edf4d359876e63b5954
