acp_sk_auditoria_cpi,acp_tx_business_key,cpi_sk_cpi,cpi_id_orgao,cpi_tx_sigla,cpi_tx_nome,cpi_tx_apelido,cpi_tx_tipo,cpi_tx_tipo_descricao,cpi_tx_tipo_orgao,cpi_tx_abrangencia,cpi_tx_situacao_origem,cpi_tx_status_analitico,cpi_dt_inicio,cpi_dt_fim,cpi_nr_ano_inicio,leg_id_legislatura,acp_tx_cobertura_legislatura,acp_fl_cpi_historica_fora_janela_legislatura,acp_fl_legislatura_pendente_revisao,cpi_tx_uri,acp_qt_dias_duracao_cpi,acp_qt_relacoes_eventos,acp_qt_relacoes_distintas,acp_qt_eventos_distintos,acp_dt_primeiro_evento,acp_dt_ultimo_evento,acp_qt_dias_entre_primeiro_ultimo_evento,acp_qt_relacoes_diretas,acp_qt_relacoes_semanticas,acp_qt_alta_confianca,acp_qt_eventos_realizados,acp_qt_relacoes_high,acp_qt_relacoes_medium,acp_vl_pct_relacoes_alta_confianca,acp_vl_pct_relacoes_diretas,acp_vl_pct_eventos_realizados,acp_vl_pct_dimensoes_completas,acp_nr_rank_eventos_relacionados,cpi_fl_mista,cpi_fl_ativa,cpi_fl_data_inicio_informada,cpi_fl_data_fim_informada,cpi_fl_legislatura_identificada,cpi_fl_id_valido,cpi_fl_nome_informado,cpi_fl_tipo_cpi_valido,cpi_fl_periodo_valido,acp_fl_periodo_cpi_consistente,acp_fl_possui_evento_relacionado,acp_fl_possui_relacao_direta,acp_fl_possui_relacao_semantica,acp_fl_possui_alta_confianca,acp_fl_possui_evento_realizado,acp_fl_dimensoes_principais_completas,acp_fl_registro_valido_marts,acp_qt_cpi_encontrada_gold,acp_qt_evento_encontrado_gold,acp_qt_data_encontrada_gold,acp_qt_dimensoes_completas,cpi_aud_id_execucao_gold,cpi_aud_dh_processamento_gold,cpi_aud_tx_hash_registro_gold,acp_qt_execucoes_gold_eventos,acp_dh_ultimo_processamento_gold_eventos,aud_id_execucao_marts,aud_dh_processamento_marts,aud_tx_versao_pipeline_marts,aud_tx_hash_registro_marts
59c380f8a3adb4b378773742b680727302dd1a090f7909dc6a1d7e7291fedc5b,539430,59c380f8a3adb4b378773742b680727302dd1a090f7909dc6a1d7e7291fedc5b,539430,CPIMST,"COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR A ATUAÇÃO DO GRUPO MOVIMENTO DOS TRABALHADORES SEM TERRA (MST), DO SEU REAL PROPÓSITO, ASSIM COMO DOS SEUS FINANCIADORES",CPI - MOVIMENTO DOS TRABALHADORES SEM TERRA (MST),CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,EXTINTA,ENCERRADA_COM_DATA_FIM,2023-04-26,2023-09-26,2023,57,LEGISLATURA_IDENTIFICADA,false,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/539430,153,10,10,10,2023-05-31,2023-09-05,97,0,10,0,10,10,0,0.0,0.0,100.0,100.0,1,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,10,10,10,10,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,0162332c3faba76772e5ff7f18b5d43734db14dc3b1938897d060322e381ec90,10,2026-06-02T16:19:25.653Z,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,80454c45474a3df4c4a971007e6d31a712ba831a5e5e9986f2ac7adc509f4c7f
5415a4c5ba119dae360590788a983e181ac765b78c3535df817e7748297e177b,539426,5415a4c5ba119dae360590788a983e181ac765b78c3535df817e7748297e177b,539426,CPIAMERI,COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR AS INCONSISTÊNCIAS DA ORDEM DE 20 BILHÕES DE REAIS DETECTADAS EM LANÇAMENTOS CONTÁBEIS DA EMPRESA AMERICANAS S.A. REALIZADOS NO EXERCÍCIO DE 2022 E EM EXERCÍCIOS ANTERIORES,CPI - EMPRESA AMERICANAS S.A.,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,EXTINTA,ENCERRADA_COM_DATA_FIM,2023-04-26,2023-09-26,2023,57,LEGISLATURA_IDENTIFICADA,false,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/539426,153,1,1,1,2023-06-13,2023-06-13,0,0,1,0,1,1,0,0.0,0.0,100.0,100.0,2,false,false,true,true,true,true,true,true,true,true,true,false,true,false,true,true,true,1,1,1,1,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,2fa2140f8f0221ceefef61af1af736eef3ae9b0920790d9552f5100b4cedb1eb,1,2026-06-02T16:19:25.653Z,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,6e4eeaba1d48f21e0176d91f01ea1b5fa3959fd5b8eef86a21bac8f4e7307bf4
3709957321b56b455726b293214c8c0239f90c11db8e0616bc6c816f3411016e,537792,3709957321b56b455726b293214c8c0239f90c11db8e0616bc6c816f3411016e,537792,CPIFUNAI,COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR A ATUAÇÃO DA FUNDAÇÃO NACIONAL DO ÍNDIO (FUNAI) E DO INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA (INCRA) NA DEMARCAÇÃO DE TERRAS INDÍGENAS E DE REMANESCENTES DE QUILOMBOS,CPI - FUNAI E INCRA,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,EXTINTA,ENCERRADA_COM_DATA_FIM,2015-10-28,2016-08-18,2015,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/537792,295,1,1,1,2021-08-11,2021-08-11,0,0,1,0,1,0,1,0.0,0.0,100.0,100.0,3,false,false,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,1,1,1,1,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,41e1bdaca41fe99ab1f9b3077899457713fd3e81e12cc77ed2ee18d1dfaf275c,1,2026-06-02T16:19:25.653Z,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,c5bf68ce1e287f9e733b473cd8c685c70a83e659257350ce142f84d2ea784bd0
fb856f78c84ba63d5419805b5f462f72853c0162d11a75d4f41ef891073504ef,102648,fb856f78c84ba63d5419805b5f462f72853c0162d11a75d4f41ef891073504ef,102648,CPMI8JAN,COMISSÃO PARLAMENTAR MISTA DE INQUÉRITO DOS ATOS DE 8 DE JANEIRO DE 2023,CPMI - 8 DE JANEIRO,CPMI,Comissão Parlamentar Mista de Inquérito,COMISSÃO PARLAMENTAR MISTA DE INQUÉRITO,CONGRESSO NACIONAL,,STATUS_INDEFINIDO,,,,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/102648,,1,1,1,2023-05-03,2023-05-03,0,0,1,0,1,0,1,0.0,0.0,100.0,100.0,4,true,false,false,false,false,true,true,true,true,true,true,false,true,false,true,true,true,1,1,1,1,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,ecbde5210acb6783f4d09c674e63ac50e0cc8e3f06c1f50064ef07cb05826b91,1,2026-06-02T16:19:25.653Z,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,504ac3344fb49ae9202478c2912ed162e62ff3a58d7317a9cd3c46d10348ed15
6fd66ac95066d240f7ff4b689df11c3e9f8ba337629a510ab543e3f88765d63e,536706,6fd66ac95066d240f7ff4b689df11c3e9f8ba337629a510ab543e3f88765d63e,536706,CPI-ABOR,"COMISSÃO PARLAMENTAR DE INQUÉRITO PARA INVESTIGAR DENÚNCIA FEITA , SOBRE A EXISTÊNCIA DO COMÉRCIO CLANDESTINO DE SUBSTÂNCIAS ABORTIVAS E DA PRÁTICA DO ABORTO NO BRASIL.",CPI - COMÉRCIO CLANDESTINO SUBSTÂNCIAS ABORTIVAS,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,EXTINTA,ENCERRADA_COM_DATA_FIM,2008-12-08,2011-01-31,2008,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/536706,784,0,0,0,,,,0,0,0,0,0,0,0.0,0.0,0.0,100.0,5,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,0,0,0,0,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,7ed29fb0276224ee77d629fa00d9c793350127e9241152d5289799d12afb0772,0,,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,005ba4a02d3abda46116353131da37646cdbf4089e5ad2c9ff460b63d1168a9a
fc8c215630577d3e20e644f0db3125fd91e75e61ae11e51cb13bab3e75a257cf,6706,fc8c215630577d3e20e644f0db3125fd91e75e61ae11e51cb13bab3e75a257cf,6706,CPI-ABOR,"COMISSÃO PARLAMENTAR DE INQUÉRITO PARA INVESTIGAR DENÚNCIA FEITA , SOBRE A EXISTÊNCIA DO COMÉRCIO CLANDESTINO DE SUBSTÂNCIAS ABORTIVAS E DA PRÁTICA DO ABORTO NO BRASIL.",CPI - COMÉRCIO CLANDESTINO SUBSTÂNCIAS ABORTIVAS,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,,STATUS_INDEFINIDO,2008-12-08,,2008,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/6706,,0,0,0,,,,0,0,0,0,0,0,0.0,0.0,0.0,100.0,5,false,false,true,false,false,true,true,true,true,true,false,false,false,false,false,true,true,0,0,0,0,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,9427b130f36a68dc2658d604739abb2b63d81b2b961041f80d13329115c10bd4,0,,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,1c83ebc722afc80688d9855211186c793b5376db3a8b51df517a04d7e0b82b61
f8195487945e85526b9f146b7c6e059115806267baed9368a76dcb83ddf15220,6697,f8195487945e85526b9f146b7c6e059115806267baed9368a76dcb83ddf15220,6697,CPI-DESA,"COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR AS CAUSAS, CONSEQÜÊNCIAS E RESPONSÁVEIS PELOS DESAPARECIMENTOS DE CRIANÇAS E ADOLESCENTES NO BRASIL NO PERÍODO DE 2005 A 2007.",CPI - DESAPARECIMENTO DE CRIANÇAS E ADOLESCENTES,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,,ENCERRADA_COM_DATA_FIM,2008-12-08,2010-11-09,2008,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/6697,701,0,0,0,,,,0,0,0,0,0,0,0.0,0.0,0.0,100.0,6,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,0,0,0,0,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,5e406922f348013754f25179f6d3b7c1ed2fe7ddae7b3f2b2faa67250c019595,0,,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,9e814e4f96feda3ebb589091dd3ca7b1597031e48e51c6be091d8f153832adb6
2ca00e68ee0282b70000fd7211de876f948c03c8ba65e345f177580a641f2b24,536697,2ca00e68ee0282b70000fd7211de876f948c03c8ba65e345f177580a641f2b24,536697,CPI-DESA,"COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR AS CAUSAS, CONSEQÜÊNCIAS E RESPONSÁVEIS PELOS DESAPARECIMENTOS DE CRIANÇAS E ADOLESCENTES NO BRASIL NO PERÍODO DE 2005 A 2007.",CPI - DESAPARECIMENTO DE CRIANÇAS E ADOLESCENTES,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,PARECER APROVADO,ENCERRADA_COM_DATA_FIM,2008-12-08,2010-11-09,2008,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/536697,701,0,0,0,,,,0,0,0,0,0,0,0.0,0.0,0.0,100.0,6,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,0,0,0,0,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,c0f0baf8c667188d8f9eada9d865d9d5bd2ce21df5278a29b59641425d9196d1,0,,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,48ab6cd70797bb19ce451425b3a5f24adbdd92cc117420bb3f9af1eb277a93a4
f2083603de3e9386a12026d71358aa18b2232314f85b42068691513269bf466f,536698,f2083603de3e9386a12026d71358aa18b2232314f85b42068691513269bf466f,536698,CPI-DIVI,"COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR A DÍVIDA PÚBLICA DA UNIÃO, ESTADOS E MUNICÍPIOS, O PAGAMENTO DE JUROS DA MESMA, OS BENEFICIÁRIOS DESTES PAGAMENTOS E O SEU IMPACTO NAS POLÍTICAS SOCIAIS E NO DESENVOLVIMENTO SUSTENTÁVEL DO PAÍS.",CPI - DÍVIDA PÚBLICA,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,PARECER APROVADO,ENCERRADA_COM_DATA_FIM,2008-12-08,2010-05-11,2008,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/536698,519,0,0,0,,,,0,0,0,0,0,0,0.0,0.0,0.0,100.0,7,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,0,0,0,0,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,e93616c75de991f3c1139eb220a5a0443fdee513c3ff1d47750ffcbac498e93d,0,,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,c6d371ad28a92c5c7bbed7d0d11d6a23a64974a08b07f005fd3f4c38c11a3701
ed94c5f6054f08b04e63dbf01dd58ffcb5cc6f9b56bd292a6e271968b767e724,6698,ed94c5f6054f08b04e63dbf01dd58ffcb5cc6f9b56bd292a6e271968b767e724,6698,CPI-DIVI,"COMISSÃO PARLAMENTAR DE INQUÉRITO DESTINADA A INVESTIGAR A DÍVIDA PÚBLICA DA UNIÃO, ESTADOS E MUNICÍPIOS, O PAGAMENTO DE JUROS DA MESMA, OS BENEFICIÁRIOS DESTES PAGAMENTOS E O SEU IMPACTO NAS POLÍTICAS SOCIAIS E NO DESENVOLVIMENTO SUSTENTÁVEL DO PAÍS.",CPI - DÍVIDA PÚBLICA,CPI,Comissão Parlamentar de Inquérito,COMISSÃO PARLAMENTAR DE INQUÉRITO,CÂMARA DOS DEPUTADOS,,ENCERRADA_COM_DATA_FIM,2008-12-08,2010-05-11,2008,,CPI_HISTORICA_FORA_JANELA_56_57,true,false,https://dadosabertos.camara.leg.br/api/v2/orgaos/6698,519,0,0,0,,,,0,0,0,0,0,0,0.0,0.0,0.0,100.0,7,false,false,true,true,false,true,true,true,true,true,false,false,false,false,false,true,true,0,0,0,0,01c08fcd-97cd-4fa6-8ce0-a62cb83924cf,2026-06-02T16:08:26.853Z,51939870c03e7505e5fd2334de42e20fe04a63758c30b29a9c3b05318adad5aa,0,,c2595072-3a94-448f-80b7-ed0a72d93fa1,2026-06-02T16:37:41.238Z,marts_v1.0_cpi_audit,5bded49a9cac82378d53df7bd678badea73c69113d8ecdd15e4f9fa76a82c186
