pab_sk_presenca_absenteismo,pab_tx_business_key,dep_sk_deputado,par_sk_partido,est_sk_estado,dep_id_deputado,dep_tx_nome,dep_tx_sigla_partido,dep_tx_sigla_uf,leg_id_legislatura,leg_id_legislatura_deputado,pab_nr_ano,pab_nr_mes,pab_tx_ano_mes,pab_dt_primeiro_evento,pab_dt_ultimo_evento,pab_qt_eventos_distintos,pab_qt_tipos_evento,pab_qt_orgaos_distintos,pab_qt_registros_presenca,pab_qt_presencas,pab_qt_ausencias,pab_vl_pct_presenca,pab_vl_pct_absenteismo,pab_vl_pct_dimensoes_completas,pab_nr_rank_presenca_periodo,pab_nr_rank_absenteismo_periodo,pab_fl_possui_presenca,pab_fl_possui_ausencia,pab_fl_alto_absenteismo,pab_fl_baixo_absenteismo,pab_fl_dimensoes_principais_completas,pab_fl_registro_valido_marts,pab_qt_evento_encontrado_gold,pab_qt_deputado_encontrado_gold,pab_qt_partido_encontrado_gold,pab_qt_estado_encontrado_gold,pab_qt_data_encontrada_gold,pab_qt_dimensoes_completas,pab_qt_execucoes_gold,pab_dh_ultimo_processamento_gold,aud_id_execucao_marts,aud_dh_processamento_marts,aud_tx_versao_pipeline_marts,aud_tx_hash_registro_marts
58a5f5f546869af804c0b004b5ec31729b9a9cd7297a0ae91e837f45d5b0a25b,107283|56|2021|3,009b79f53f4660b8797e8950af9867fa0ed726f8aa8a34dc446235ff8c198b07,b13082281cba38ba96e8956bcb27e919ebbbda17e6779c7bd15f9149a7e7a772,509a8a4b60551c5f7ba20753ec062ce047f63ded03b74f8be968f2195d4d710a,107283,GLEISI HOFFMANN,PT,PR,56,,2021,3,2021-03,2021-03-02,2021-03-31,32,4,0,32,32,0,100.0,0.0,100.0,258,1,true,false,false,true,true,true,32,32,32,32,32,32,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,5be84eb318db439277410e711b77b5163ca5e41c1f047c6fb3417d2008e46afa
70c7b5221442a614902735507b60a795a3b247b715e43e6eab5115ba5ac748a9,108338|56|2021|3,510ad117e8d8d8c7ad34a1fa82cdc107f12dc66a2cd2f43a831237bfef18a7d5,7a7109a917533293db799cb8bac969e2739887771f74e105685a87fd41cad048,4655e7fc9d85a0c738a1357fabdcf1497db3ba0310ade08bb500d869da3205f2,108338,JAQUELINE CASSOL,PP,SC,56,,2021,3,2021-03,2021-03-02,2021-03-31,36,5,0,36,36,0,100.0,0.0,100.0,151,2,true,false,false,true,true,true,36,36,36,36,36,36,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,e1aacb47abe8c12ff343afb2071a08e14acdb67a6297dfdbc063f07d212fa79a
1056519b545b4eabe12c5bdf94aec797ff8c8705d7c8c86a7698b60dd7428246,109429|56|2021|3,51c81c656753d196f29960817d9418508e8a5783fc4f24ed362dcef59a482bcf,49c465e1a9fe4cee5fab8ade5bf6c4030f285ffa0e5b4a21b0472b99962f2f6a,48af96e6e9aa38f17dbdada415e8a18569050d87640cf0c6edf1dda834f8a479,109429,BENES LEOCÁDIO,UNIÃO,RN,56,,2021,3,2021-03,2021-03-02,2021-03-31,33,4,0,33,33,0,100.0,0.0,100.0,230,3,true,false,false,true,true,true,33,33,33,33,33,33,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,349e33e1209af8ec8a808590d18b7c45a7a456a48cda55c0d5bfa2940e6b83c9
f8896086e92399cb5967ee8f978678651a6170c22d4a647930c9a5791575ac46,112437|56|2021|3,07b4168cc79cb0f3192c216a873eb27215192dd3a45e22a689eff8174c4c0f6f,4cf13c7d975bc7daa555712725ad4b8d6be5fb1e1a18206a159df0c7bcaa5781,f5791f7d69e4a7e98e208d4c49d29e13ee5804bd390decf75a78b6a8394e1378,112437,JOÃO MARCELO SOUZA,MDB,MA,56,,2021,3,2021-03,2021-03-02,2021-03-31,29,4,0,29,29,0,100.0,0.0,100.0,344,4,true,false,false,true,true,true,29,29,29,29,29,29,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,a9673986d6be92ade287b674795191d6d12d418c5a7956a890eeeb952239c9f7
cb33c3477d3e632d7a8295b31af8b21f2d1b632be10e42f859f8263c9f532f5e,115746|56|2021|3,19e169e7d547d27e4d318ca9d5d2e2f34b317d8a07d0eae445363b5c515a27ab,920abfc0d00c62c2e2440e2e7f6d76fc4ebf709ed1fbecaad14fcba0be0c0617,c4041fb24fc6ffccbee7844ed6cd59c7b47b4e6811d33446a17a61663f26a7a4,115746,GELSON AZEVEDO,PL,RJ,56,,2021,3,2021-03,2021-03-02,2021-03-31,24,3,0,24,24,0,100.0,0.0,100.0,460,5,true,false,false,true,true,true,24,24,24,24,24,24,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,0193b727e589a6a655ccae64272d5fcf7242f69b234283ea2110d807270c8f30
5bda31813fefe2495c3572cb30ff024a73579ccc0866652487b96ae9c5f10f8a,116379|56|2021|3,051176cd297f3db2e1dfc57dc69fd5777088b8dc1f896a54d6d92aac0e4d440c,3106df44cdec91e84494c698d3041ec2cbe7ad76f4b6b52d4ded5381fee79eaf,509a8a4b60551c5f7ba20753ec062ce047f63ded03b74f8be968f2195d4d710a,116379,DARCI DE MATOS,PSD,PR,56,,2021,3,2021-03,2021-03-02,2021-03-31,43,6,0,43,43,0,100.0,0.0,100.0,57,6,true,false,false,true,true,true,43,43,43,43,43,43,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,833c40418b58afe9215b4958c5fe92a3f1104f921ee9d0b3fa69284eca2901fb
f26a395e3930643a994e2d36ef522148008b740a97e773b9fb1acca4a986799f,121948|56|2021|3,3609134e2e92f1b17cad178f4d77f9d6943da70012c2d1b9d89d4d28d4508ea7,7a7109a917533293db799cb8bac969e2739887771f74e105685a87fd41cad048,8760333e9598fee9d866e9862178895b91668d5d23a4e2af1a95a0500b2e3387,121948,ADRIANO DO BALDY,PP,GO,56,,2021,3,2021-03,2021-03-02,2021-03-31,34,5,0,34,34,0,100.0,0.0,100.0,200,7,true,false,false,true,true,true,34,34,34,34,34,34,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,c5a1f4bc7cd69c6fb9e917a83d5e268392522a2ec8620cbc0a39c1f7f3ac8fa0
a92a60a259b3ab01724ac9e2b7a54f5874e8a1c062b0b503d2bb9f8dc5c0199a,122158|56|2021|3,35175434bb06cb60d055f943c666388fc3667a784c3acd037542bf18cec73262,3106df44cdec91e84494c698d3041ec2cbe7ad76f4b6b52d4ded5381fee79eaf,c4041fb24fc6ffccbee7844ed6cd59c7b47b4e6811d33446a17a61663f26a7a4,122158,PEDRO PAULO,PSD,RJ,56,,2021,3,2021-03,2021-03-02,2021-03-02,2,1,0,2,2,0,100.0,0.0,100.0,511,8,true,false,false,true,true,true,2,2,2,2,2,2,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,b2685169d7220fc0ac2bce5525961ee9c304b3940157bc71dd1a58ec8b49a368
87a06bbff67aec9fbbc4418ab0c1c97c8524de37af977c5fe90c1cf2dc711e51,122195|56|2021|3,7b3a3343acbb0944d460a7fbaed7972448c25af3467808f233efbb6155c2b11e,56ad1b81314f34fb6f9b5f8e59dd3419a9d8cf04be1350321a404f1d5c730ee4,d945fa3384d03ee67b666f9fe8d981b3fbc8d981a763f8a9c1c11b0641387b69,122195,LEONARDO GADELHA,PSC,DF,56,,2021,3,2021-03,2021-03-31,2021-03-31,2,1,0,2,2,0,100.0,0.0,100.0,512,9,true,false,false,true,true,true,2,2,2,2,2,2,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,984a4f402c0d8095b120ee1c5e04225f15b16feb3876b43f71c7cd3b439742fe
4a563af137c1557e62dd3df9b4c68a37a87b699beb74fdef2ccd8ef5b9093088,122974|56|2021|3,fd4fb38f7a20fd1e36af55ecdce0910bc38a82b6850d0f4db810bacd85ca4025,49c465e1a9fe4cee5fab8ade5bf6c4030f285ffa0e5b4a21b0472b99962f2f6a,f5791f7d69e4a7e98e208d4c49d29e13ee5804bd390decf75a78b6a8394e1378,122974,PEDRO LUCAS FERNANDES,UNIÃO,MA,56,,2021,3,2021-03,2021-03-02,2021-03-31,41,6,0,41,41,0,100.0,0.0,100.0,81,10,true,false,false,true,true,true,41,41,41,41,41,41,1,2026-06-02T16:12:33.262Z,f99d6559-da2d-4a77-af08-cb13375b737b,2026-06-02T16:40:29.294Z,marts_v1.1_registered_attendance_coverage,cf56ef070358b4dfa969fc0d1692ec9b79b1e7a4623259850c212d13ee538933
